author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Deddy Setiawan,"Viral, Penafsiran Kecerdikan Ferdy Sambo dalam Memilih TKP","Kasus pembunuhan Brigadir J yang dilakukan oleh Ferdy Sambo Cs belum lah usai, baru-baru ini Rekontruksi  kejadian atas kasus pembunuhan tersebut baru saja dilakukan",https://www.viva.co.id/trending/1515459-viral-penafsiran-kecerdikan-ferdy-sambo-dalam-memilih-tkp,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/31/630e438d423bb-tersangka-ferdy-sambo-bersama-istrinya-tersangka-putri-candrawathi_665_374.jpg,2022-08-31T04:33:27Z,"VIVA Trending  Kasus pembunuhan Brigadir J yang dilakukan oleh Ferdy Sambo Cs belum lah usai, baru-baru ini rekontruksi  kejadian atas kasus pembunuhan tersebut baru saja selesai dilakukan.
Menarikn… [+986 chars]",NA,Viva.co.id
Hardani Triyoga,"Ngabalin ke Panda Nababan: Kenapa Jadi Mengadili Polisi, Hati-hati Loh",Ali Ngabalin minta politikus senior Panda Nababan agar tidak jadi seolah-olah hakim dalam kasus Sambo.,https://www.viva.co.id/berita/politik/1515485-ngabalin-ke-panda-nababan-kenapa-jadi-mengadili-polisi-hati-hati-loh,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/31/630ec3157ee12-debat-ali-ngabalin-dengan-panda-nababan-di-catatan-demokrasi-tvone_665_374.jpg,2022-08-31T04:06:37Z,VIVA Politik - Debat panas terjadi antara Tenaga Ahli Utama Kepala Staf Presiden (KSP) Ali Mochtar Ngabalin dengan politikus senior Panda Nababan. Ngabalin mencecar Panda karena menyarankan ada perom… [+948 chars],NA,Viva.co.id
Surya Aditiya,Tanggapan Ahmad Sahroni soal Isu LGBT Ferdy Sambo,"Wakil Ketua Komisi III DPR RI, Ahmad Sahroni, memberikan pernyataan perihal kasusu pembunuhan Brigadir J yang belakangan ini sering dikaitkan dengan isu LGBT",https://www.viva.co.id/trending/1515430-tanggapan-ahmad-sahroni-soal-isu-lgbt-ferdy-sambo,https://thumb.viva.co.id/media/frontend/thumbs3/2022/06/01/62971cbcf00ed-ketua-pelaksana-formula-e-jakarta-ahmad-sahroni_665_374.jpg,2022-08-31T04:00:03Z,"VIVA Trending  Wakil Ketua Komisi III DPR RI, Ahmad Sahroni, memberikan pernyataan perihal kasusu pembunuhan Brigadir J yang belakangan ini sering dikaitkan dengan isu LGBT. Hal ini ia sampaikan saat… [+1040 chars]",NA,Viva.co.id
Bayu Nugraha,"Pengacara: Putri Candrawathi Sudah di Bareskrim, Siap Diperiksa",Kedatangan Putri Candrawathi ke Bareskrim Polri guna menjalani pemeriksaan lanjutan kembali luput dari pantauan awak media.,https://www.viva.co.id/berita/nasional/1515461-pengacara-putri-candrawathi-sudah-di-bareskrim-siap-diperiksa,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/31/630e438d423bb-tersangka-ferdy-sambo-bersama-istrinya-tersangka-putri-candrawathi_665_374.jpg,2022-08-31T03:41:37Z,"VIVA Nasional  Kuasa hukum Putri Candrawathi, Arman Hanis mengaku kliennya siap untuk menjalani pemeriksaan lanjutan hari ini, Rabu 31 Agustus 2022 meski sempat mengeluh sakit. Arman tiba pukul 10.03… [+590 chars]",NA,Viva.co.id
Dedi,"AKP Rita Yuliana Unggah soal Keadilan saat Rekonstruksi, Ada Apa?","AKP Rita Yuliana unggah soal keadilan di tengah Irjen Ferdy Sambo yang dipecat secara tidak hormat oleh Polri. Tak pelak, hal itu turut menjadi sorotan publik.",https://www.viva.co.id/berita/metro/1515415-akp-rita-yuliana-unggah-soal-keadilan-saat-rekonstruksi-ada-apa,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/08/62f0a9f14ded3-akp-rita-yuliana_665_374.jpeg,2022-08-31T03:03:00Z,"VIVA Metro  AKP Rita Yuliana unggah soal keadilan di tengah Irjen Ferdy Sambo yang dipecat secara tidak hormat oleh Polri. Tak pelak, hal itu turut menjadi sorotan publik di media sosial. Seperti yan… [+1080 chars]",NA,Viva.co.id
Surya Aditiya,Fakta-fakta Alasan Polisi Usir Kuasa Hukum Brigadir J,"Brigjen Andi menegaskan segala proses rekonstruksi pembunuhan Brigadir J ini hanya wajib dihadiri oleh pihak-pihak seperti penyidik, JPU dan kelima tersangka.",https://www.viva.co.id/berita/nasional/1515397-fakta-fakta-alasan-polisi-usir-kuasa-hukum-brigadir-j,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/30/630d9bafef45f-pengacara-keluarga-brigadir-j-kamaruddin-simanjuntak-kanan_665_374.jpg,2022-08-31T02:00:03Z,VIVA Nasional  Pengacara keluarga Brigadir J beserta tim kuasa hukum diusir ketika hendak mengikuti proses rekonstruksi pembunuhan berencana Brigadir J. Kamaruddin beserta tim sebelumnya datang ke lo… [+1111 chars],NA,Viva.co.id
Agus Setiawan,"Tampan Menawan, Ini Sosok Pemeran Pengganti Brigadir J di Rekonstruksi","Proses rekonstruksi pembunuhan Brigadir J digelar kemarin. Ada salah satu yang mencuri perhatian, yaitu pemeran pengganti Brigadir J di rekontruksi. Ini sosoknya.",https://www.viva.co.id/berita/nasional/1515396-tampan-menawan-ini-sosok-pemeran-pengganti-brigadir-j-di-rekonstruksi,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/31/630eb74e66d68-briptu-achmad-haetomy-pemeran-pengganti-brigadir-j-di-rekonstruksi_665_374.jpg,2022-08-31T01:50:12Z,VIVA Nasional  Proses rekonstruksi pembunuhan Brigadir J yang dilaksanakan kemarin mencuri perhatian publik. Lima tersangka dihadirkan dalam reka adegan tersebut. Salah satu yang mencuri perhatian ya… [+819 chars],NA,Viva.co.id
Adinda Permatasari,Ferdy Sambo Kecup Putri Candrawathi Jadi Sorotan Netizen: Drama!,"Usai adegan ketujuh belas dalam rekonstruksi pembunuhan Brigadir J, Putri Candrawathi duduk di sofa dalam sebuah ruangan di rumah pribadi Ferdy Sambo tersebut.",https://www.viva.co.id/showbiz/gosip/1515400-ferdy-sambo-kecup-putri-candrawathi-jadi-sorotan-netizen-drama,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/31/630e438d423bb-tersangka-ferdy-sambo-bersama-istrinya-tersangka-putri-candrawathi_665_374.jpg,2022-08-31T01:40:14Z,"VIVA Showbiz  Istri dari mantan Kadiv Propam Mabes Polri Ferdy Sambo yakni Putri Candrawathi kembali menjadi sorotan publik. Selasa 30 Agustus 2022 kemarin, pihak kepolisian menggelar rekonstruksi ke… [+1408 chars]",NA,Viva.co.id
Daurina Lestari,"Momen Putri Peluk Ferdy Sambo, Pengacara: Tepis Isu Perselingkuhan","Kuasa hukum Putri Candrawathi, Arman Hanis mengungkapkan momen Ferdy Sambo peluk Putri Candrawathi usai rekonstruksi kemarin merupakan spontanitas sebagai pasangan.",https://www.viva.co.id/berita/nasional/1515395-momen-putri-peluk-ferdy-sambo-pengacara-tepis-isu-perselingkuhan,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/30/630de99ea2b73-putri-chandrawathi-dan-ferdy-sambo-di-rekonstruksi-pembunuhan-brigadir-j_665_374.jpg,2022-08-31T01:25:10Z,"VIVA Nasional  Kuasa hukum Putri Candrawathi, Arman Hanis mengungkapkan bahwa momen Ferdy Sambo peluk Putri Candrawathi usai rekonstruksi kemarin merupakan spontanitas sebagai pasangan suami istri ya… [+1094 chars]",NA,Viva.co.id
Daurina Lestari,Putri Candrawathi Kembali Diperiksa Bareskrim Hari Ini Jam 10,Putri Candrawathi akan diperiksa untuk dikonfrontasi dengan para saksi dan tersangka kasus dugaan pembunuhan berencana Brigadir J.,https://www.viva.co.id/berita/nasional/1515392-putri-candrawathi-kembali-diperiksa-bareskrim-hari-ini-jam-10,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/31/630e438d423bb-tersangka-ferdy-sambo-bersama-istrinya-tersangka-putri-candrawathi_665_374.jpg,2022-08-31T01:09:56Z,"VIVA Nasional  Penyidik bakal kembali memeriksa tersangka Putri Candrawathi, di Bareskrim Polri hari ini, Rabu 31 Agustus 2022, pukul 10.00 WIB. Dia diperiksa untuk dikonfrontasi dengan para saksi da… [+1361 chars]",NA,Viva.co.id
